PlantComp,Year,Month,Age,Height,DBH,Basal_area,Volume
Futululu_E6a,2012,5,1.79,12.43,8.75,9.109703313,41.33026845
Futululu_E6a,2013,7,2.88,14.41,11.42,15.53094355,81.68732726
Futululu_E6a,2015,6,4.85,14.73,11.98,17.06466689,91.7473283
Futululu_E6a,2016,5,5.78,14.8,12.1,17.41701286,94.08670348
Futululu_E6a,2017,7,6.9,15.17,12.88,19.74992612,109.3563284
Futululu_E6a,2018,8,8.02,17.96,13.47,21.32288886,139.7800656
MavuyaB3a,2012,6,2.18,16.51,10.16,12.29562307,74.09526894
MavuyaB3a,2013,6,3.17,18.55,12.66,18.81081147,127.3633017
MavuyaB3a,2014,6,4.19,18.9,13.18,20.40893137,140.791013
MavuyaB3a,2015,7,5.21,18.95,13.24,20.60376636,142.511101
MavuyaB3a,2016,5,6.09,19.08,13.44,21.49473428,149.6936285
MavuyaB3a,2017,5,7.07,19.52,14.13599991,23.77929712,169.4227361
MavuyaB3a,2018,8,8.35,20.37,15.3376669,27.99397363,208.1365936
MtubatubaB003,2013,8,2.13,11.04,9.903168278,9.967068887,40.16330079
MtubatubaB003,2014,4,2.76,11.36,10.30827259,10.79918377,44.77773557
MtubatubaB003,2015,3,3.68,11.49,10.47822627,11.15821403,46.79587591
MtubatubaB003,2016,3,4.69,11.66,10.73961614,11.72186351,49.88707891
MtubatubaB003,2017,3,5.72,12.04,11.33323687,13.05350303,57.36492442
MtubatubaB003,2018,3,6.7,12.5,12.14242762,14.98408364,68.36488163
MtubatubaB003,2018,8,7.14,14.15,12.95797799,17.06450198,88.1338866
NseleniJ006,2012,1,1.55,12.2,8.643160229,8.679974104,38.65192468
NseleniJ006,2013,2,2.63,18.28,12.53630976,18.26050276,121.8377265
NseleniJ006,2014,4,3.77,20.57,14.62236087,24.84324355,186.5243147
NseleniJ006,2016,3,5.69,21.63,15.53294502,27.59570455,217.8667077
NseleniJ006,2017,4,6.77,22.12,16.03097201,29.39365471,237.3184894
NseleniJ006,2018,4,7.78,22.52,16.45675912,30.97579784,254.6148631
NseleniJ006,2018,8,8.14,26.6,17.29591199,34.21533605,332.1966978
NyalaziB032,2013,8,1.1,5.91,5.861556632,3.634175167,7.839460961
NyalaziB032,2014,4,1.7,8.01,7.848458937,6.515514364,19.04908357
NyalaziB032,2016,3,3.6,8.09,8.884480851,8.349184094,24.65388825
NyalaziB032,2017,3,4.6,9.44,9.62363277,9.796208283,33.75381526
NyalaziB032,2018,3,5.6,9.84,10.19338398,10.99048085,39.47341102
NyalaziB032,2018,8,6.1,10.92,11.1942499,13.25470057,52.83058553
PalmridgeC15a,2012,1,1.56,12.31,8.828784508,9.275723181,41.67721561
PalmridgeC15a,2013,5,2.92,14.94,11.6368667,16.11454565,87.87422889
PalmridgeC15a,2014,6,4,15.36,12.21311303,17.52244967,98.23786181
PalmridgeC15a,2015,6,5.02,15.43,12.33691009,17.87947934,100.6963337
PalmridgeC15a,2016,5,5.94,15.54,12.48499359,18.31128051,103.8634142
PalmridgeC15a,2017,7,7.06,16.05,13.11714948,20.21254517,118.4101427
PalmridgeC15a,2018,8,8.17,17.5,13.90174706,22.70287371,145.0146058
SalpineF7,2012,5,1.52,13.88,8.852732019,9.326111031,47.24794371
SalpineF7,2013,6,2.58,16.7,12.15360029,17.5774489,107.1433397
SalpineF7,2015,6,4.56,17.24,12.94727771,19.70188776,123.9760989
SalpineF7,2016,5,5.5,17.33,13.06779916,20.07039023,126.9542499
SalpineF7,2017,5,6.48,17.49,13.33312604,20.89367731,133.3821019
SalpineF7,2018,8,7.74,20.32,14.11993715,23.43238212,173.7932917
SalpineG22b,2013,11,5.55,18.6,14.27814672,25.60770878,173.8507349
